parti_bogstav,parti,procent_26,procent_22
S,Socialdemokratiet,15.9,20.9
R,Radikale,11.1,7.1
K,Konservative,8.2,4.6
SF,SF,14.9,12.5
BP,Borgernes Parti,0.8,
LA,Liberal Alliance,8.6,8.6
M,Moderaterne,7.4,9.1
DF,Dansk Folkeparti,6.6,1.7
UP,Udenfor parti,0.4,0.2
V,Venstre,3.4,8.8
ALT,Alternativet,6.2,7.9
DD,Danmarksdemokraterne,0.9,2.1
EL,Enhedslisten,15.7,12.1
