parti_bogstav,parti,procent_26,procent_22
S,Socialdemokratiet,21.5,27.6
R,Radikale,3.9,4.4
K,Konservative,6.2,7.5
SF,SF,10.4,9.3
BP,Borgernes Parti,3.0,
LA,Liberal Alliance,10.9,8.2
M,Moderaterne,9.0,12.4
DF,Dansk Folkeparti,7.9,1.9
V,Venstre,13.9,12.5
ALT,Alternativet,2.1,3.0
DD,Danmarksdemokraterne,7.1,5.0
EL,Enhedslisten,4.1,5.0
