parti_bogstav,parti,procent_26,procent_22
S,Socialdemokratiet,18.4,27.7
R,Radikale,10.9,6.5
K,Konservative,7.2,4.8
SF,SF,11.2,11.7
BP,Borgernes Parti,1.7,
LA,Liberal Alliance,8.8,7.3
M,Moderaterne,9.4,10.9
DF,Dansk Folkeparti,9.6,3.2
V,Venstre,7.6,9.5
ALT,Alternativet,3.1,3.9
DD,Danmarksdemokraterne,1.5,3.1
EL,Enhedslisten,10.7,6.9
