kandidat,parti,valgt,stemmer
Stephanie Lose,Venstre,✓,2542
Thomas Andresen,Venstre,,2009
Theis Kylling Hommeltoft,Socialdemokratiet,,1886
Peter Kofod,Dansk Folkeparti,✓,1885
Jesper Petersen,Socialdemokratiet,✓,593
Benny Engelbrecht,Socialdemokratiet,✓,590
Rasmus Elkjær Larsen,Konservative,,527
Karina Lorentzen Dehnhardt,SF,✓,515
Henrik Frandsen,Moderaterne,✓,477
Patrick Bryhl,Danmarksdemokraterne,,277
Frederik Klakk,Liberal Alliance,,239
Lotte Rod,Radikale,,218
Kim Andkjær Doberck,Dansk Folkeparti,,203
Helena Artmann Andresen,Liberal Alliance,✓,180
Cecilie Liv Hansen,Liberal Alliance,✓,178
Karina Adsbøl,Danmarksdemokraterne,✓,174
Frida Bruun,Moderaterne,✓,149
Nadja Natalie Isaksen,Borgernes Parti,✓,148
Tilde Holch Duedahl,Venstre,,142
Christian Mutwa Christensen,SF,,128
Christian Rabjerg Madsen,Socialdemokratiet,✓,126
Jan Køpke Christensen,Borgernes Parti,,119
Steffen Larsen,Liberal Alliance,,95
Birgitte Vind,Socialdemokratiet,✓,91
Anne Catherine Hoxcer Nielsen,Socialdemokratiet,,77
Anni Matthiesen,Venstre,✓,72
Cecilie C. Johannsen,Konservative,,69
Phillip Kjær Luscombe,Venstre,,68
Milo Gaarde,SF,,58
Frederik Bloch Münster,Konservative,✓,56
Ulrik Knudsen,Danmarksdemokraterne,✓,55
Jannie Boysen Westergaard,Konservative,,54
Rasmus Vestergaard Madsen,Enhedslisten,✓,54
Morten Hell,Moderaterne,,54
Maria Radoor,Socialdemokratiet,,54
Helene Hellesøe Appel,Enhedslisten,,53
Josephine Alstrup Kofod,Dansk Folkeparti,✓,52
Anne Marie Geisler Andersen,Radikale,,49
Selma Bolø,Enhedslisten,,48
Karsten Byrgesen,Borgernes Parti,,43
Ina Juul Jensen,SF,,40
Carl Andersen,Liberal Alliance,,39
Jesper Bierbaum,Venstre,,37
Christina Foldager,Konservative,,36
Tobias Jørgensen,Venstre,,34
Jørn Dohrmann,Borgernes Parti,,33
Sofus Teislev,SF,,33
Christian Kirk,Dansk Folkeparti,,33
Thomas Majgaard Byrsing,Danmarksdemokraterne,,31
Niels Henning Bladt,Venstre,,30
Kenneth Fredslund Petersen,Danmarksdemokraterne,,30
Troels Simonsen,Liberal Alliance,,30
Anders Kronborg,Socialdemokratiet,✓,30
Lars Rømer Olsen,Socialdemokratiet,,29
Troels Overgaard,Venstre,,28
Gunver Birgitte Nielsen,Konservative,,28
Kim Eskesen,Socialdemokratiet,,27
Rasmus Sandvej,Konservative,,25
Rune Bønnelykke,Dansk Folkeparti,✓,24
Mads-Magnus Damm,Dansk Folkeparti,,23
Coco Mette Cecilie Kjærgaard,Alternativet,,23
Gitte Eriksen,Konservative,,22
Kim Alexander Jensen,Liberal Alliance,,22
Lasse Skov Ovesen,Radikale,,20
Timm Bøttger,SF,,20
Helene Lykke,Liberal Alliance,,19
Per Knudsen,Dansk Folkeparti,,18
Jørgen Kvist,SF,✓,18
Gitte Bjerremand Andersen,Moderaterne,,18
Klaus Sandfeld,Venstre,,17
Nils Sjøberg,Radikale,,16
Tommi Christensen,Socialdemokratiet,,16
Lone Hansen,Moderaterne,,16
Morten Trillingsgaard Høybye,Konservative,,15
Sune Nørgaard Jakobsen,Dansk Folkeparti,,15
Tobias Brus Mikkelsen,Dansk Folkeparti,,15
Magnus Flensborg,SF,,14
Lasse Hildingberg,Venstre,,14
Jakob Venø Heiwald,Danmarksdemokraterne,,14
Finn Hartvig Nielsen,Radikale,,14
Susanne Blegvad Posselt,SF,,13
Kristian Thomsen,Konservative,,13
Kris Jensen Skriver,Socialdemokratiet,,13
Astrid Fogh,Alternativet,,12
Allan Svendsen,Dansk Folkeparti,,12
Preben Friis-Hauge,Venstre,,10
Christian Fini Mosegaard,Liberal Alliance,,9
Ane Line Søndergaard,Alternativet,,8
John Rasmussen,Liberal Alliance,,8
Lars Mogensen,Enhedslisten,,7
Johanna-Maria Precht,Enhedslisten,,7
Nicholas Wentworth,Radikale,,7
Holly Marie Turner,Enhedslisten,,6
Jim Zakaria,Dansk Folkeparti,,6
Lasse Harder Schousboe,Enhedslisten,,6
Dan Arnløv,Konservative,,6
Lilje Holm,Enhedslisten,,5
Bjørn Laursen,Socialdemokratiet,,5
Christian Jørgensen,Liberal Alliance,,4
Mikael Winther,Alternativet,,4
Bo Nielsen,Alternativet,,4
Christoffer Aagaard Melson,Venstre,✓,4
Jens Langer Schou,Konservative,,4
Sarah Nørris,Enhedslisten,,4
Carsten Sohl,Alternativet,,4
Mathias D. Christiansen,Enhedslisten,,3
Ole Lynggaard Jørgensen,Radikale,,3
Hans Biering Fonsbøl,Alternativet,,2
Barbara Krarup Hansen,Radikale,,2
Bodil Nielsen,Alternativet,,2
Rune Højer,Dansk Folkeparti,,1
Bjarne Lastein,Radikale,,1
Edvard Korsbæk,Alternativet,,1
Benny Dall,Enhedslisten,,1
Mikael Hertig,Alternativet,,0
Christian Tarbensen,Konservative,,0
