kandidat,parti,valgt,stemmer
Peter Hummelgaard,Socialdemokratiet,✓,368
Pelle Dragsted,Enhedslisten,✓,357
Ida Auken,Socialdemokratiet,,163
Franciska Rosenkilde,Alternativet,✓,156
Theresa Scavenius,Udenfor parti,,143
Lisbeth Bech-Nielsen,SF,,126
Samira Nawa,Radikale,,118
Jakob Engel-Schmidt,Moderaterne,✓,115
Rosa Lund,Enhedslisten,✓,97
Mads Strange,Liberal Alliance,,68
Pil Christensen,Enhedslisten,,60
Thomas Rohden,Radikale,,55
Carl Valentin,SF,,46
Nanna Bonde,SF,,44
Magnus Georg Jensen,Radikale,,43
Lise Coermann,Alternativet,,39
Helle Bonnesen,Konservative,,31
Jan E. Jørgensen,Venstre,,29
Kasper Nordborg Kiær,SF,,29
Paw Karslund,Dansk Folkeparti,,29
Helene Fagerhøj,Konservative,,27
Leila Stockmarr,Enhedslisten,,27
Sophie Hæstorp Andersen,Socialdemokratiet,,26
Linea Søgaard-Lidell,Venstre,,26
Ole Birk Olesen,Liberal Alliance,✓,26
Allan Feldt,Dansk Folkeparti,,24
Alexander Ryle,Liberal Alliance,,23
Anders Storgaard,Konservative,,23
Anne-Sofie Sadolin,Radikale,,22
Maria Georgi Sloth,Radikale,,21
Rasmus Paludan,Udenfor parti,,21
Merete Riisager,Liberal Alliance,,20
Mia Tang,Konservative,,19
Helene Langager,Radikale,,17
Pernille Birch,Konservative,,16
Nanna W. Gotfredsen,Moderaterne,,16
Ali Qais,Moderaterne,,16
Denise Rostgaard,Dansk Folkeparti,,16
Emil Moselund,Radikale,,15
Halime Oguz,SF,,14
Yildiz Akdogan,Socialdemokratiet,,14
Mette Reissmann,Socialdemokratiet,,14
Merete Dea Larsen,Dansk Folkeparti,,12
Jiesper Tristan Pedersen,Alternativet,,12
Sadek Al-Amood,SF,,12
Ellen Emilie,Moderaterne,,12
Mikkel Senna Odoom,Radikale,,11
Anders Sørensen,Alternativet,,11
Rune Palm,SF,,11
Asbjørn Reissmann,Socialdemokratiet,,11
Claus Buch,Venstre,,10
Mads Sebbelov,Moderaterne,,10
Rasmus Bjergegaard,Konservative,,10
John Erik Wagner,Udenfor parti,,10
Carina Høedt,Konservative,,10
Charlotte Lund,Enhedslisten,,9
Maria Sofie Petersen,Enhedslisten,,9
Cecilie Louise Balbay Holdt,SF,,9
Nikolaj Bøgh,Konservative,,8
Qasam Nazir Ahmad,Alternativet,,8
Flemming Steenlykke,Borgernes Parti,,8
Lisbeth Dam Larsen,Moderaterne,,7
Line Ervolder,Konservative,,7
Mathilde Vinther,Enhedslisten,,7
Julie Herdal,Radikale,,7
Mikkel Sammy Christensen,SF,,6
Kim Larsen,Enhedslisten,,6
Pil Yildiz,Enhedslisten,,6
Jan Kristoffersen,Alternativet,,6
Marcus Vesterager,Socialdemokratiet,,6
Niels Peder Ravn,Konservative,,6
Anders Fausbøll,Venstre,,5
Jakob Ravn Karlsen,Alternativet,,5
Natascha Remvig,Venstre,,5
Thomas Markmann,Radikale,,4
Noah Sturis,Alternativet,,4
Nikolai Eskild Jensen,Alternativet,,4
Lasse Vogel Andersen,Konservative,,4
Mette Bloch Hansen,Enhedslisten,,4
Mette Bram,Alternativet,,4
Erik Jensen,Socialdemokratiet,,3
Laura Emilie Fabricius-Lauritzen,Liberal Alliance,,3
Camilla Hoffmann,Socialdemokratiet,,3
Charlotte Nellemann,Liberal Alliance,,3
Rikke Hansen,Borgernes Parti,,3
Line Østergaard Olsen,Liberal Alliance,,2
Emilla Møller,Socialdemokratiet,,2
Benny Bindslev,Danmarksdemokraterne,,2
Per Nørgaard Andersen,Liberal Alliance,,2
Anders Havelund Krøyer,Konservative,,2
Jarl Feyling,Socialdemokratiet,,2
Vibeke Frost,Alternativet,,2
Zeynep Bardakci,Venstre,,2
Marianne Mortensen,Radikale,,2
Rashid Ali,Udenfor parti,,2
Malene Sandfeld,Venstre,,2
David Rønne,Enhedslisten,,2
Roger Courage Matthisen,Alternativet,,2
Reinout Bosch,Enhedslisten,,2
Catharina Næsby Malkki,Alternativet,,1
Eva Bechmann,Danmarksdemokraterne,,1
Frederik Rosberg,Radikale,,1
Peter Martin Jakobsen,Alternativet,,1
Torben Guldbæk,Liberal Alliance,,1
Morten Bering,SF,,1
Jan Schumann,Alternativet,,0
Bjarke Bisgaard Yolal,SF,,0
Stig Ekman,Socialdemokratiet,,0
Mikkel Bahl,Alternativet,,0
Martin Sibast,Danmarksdemokraterne,,0
