kandidat,parti,valgt,stemmer
Alex Vanopslagh,Liberal Alliance,✓,2126
Troels Lund Poulsen,Venstre,✓,1351
Mona Juul,Konservative,✓,1296
Nicolai Wammen,Socialdemokratiet,✓,1231
Lars Boje Mathiesen,Borgernes Parti,✓,675
Charlotte Green,Konservative,✓,602
Louise Louring,Venstre,✓,516
Kirsten Normann Andersen,SF,✓,509
Nick Zimmermann,Dansk Folkeparti,✓,482
Anders Kühnau,Socialdemokratiet,✓,362
Camilla Fabricius,Socialdemokratiet,✓,358
Erik Særkjær,Socialdemokratiet,,345
Lone Glarbo,Danmarksdemokraterne,,303
Katrine Robsøe,Radikale,✓,252
Christina Egelund,Moderaterne,✓,252
Søren Lahn Sloth,SF,,180
Erik Veje Rasmussen,Venstre,,175
Erik Poulsen,Danmarksdemokraterne,,172
Charlotte Broman Mølbæk,SF,✓,168
Sofie Lippert,SF,✓,167
Anne Sophie Callesen,Radikale,,164
Caroline Stage,Moderaterne,✓,142
Malte Larsen,Socialdemokratiet,✓,136
Leif Lahn Jensen,Socialdemokratiet,✓,130
Line Rasmussen,Radikale,,125
Maria Sørensen,Enhedslisten,,115
Torsten Gejl,Alternativet,✓,108
Charlotte Vindeløv,SF,,86
Nana Harring,Dansk Folkeparti,,80
Anna Brændemose,SF,,78
Kim Møller-Nielsen,Liberal Alliance,,75
Louise Høeg,Venstre,,71
Gert Bjerregaard,Venstre,,70
Bjarke Jensen,Radikale,,66
Trine Mach,Enhedslisten,✓,63
Jens Meilvang,Liberal Alliance,✓,62
Peter Have,Moderaterne,,52
Rabih Azad-Ahmad,Radikale,,50
Hans Kristian Skibby,Danmarksdemokraterne,✓,50
Mercedes Czank,Dansk Folkeparti,,48
Carina Sarkkinen,SF,,48
Sten Larsen,Moderaterne,,47
Louise Brown,Liberal Alliance,,46
Michael Nedersøe,Dansk Folkeparti,✓,45
Paw Hedegaard Amdisen,SF,,41
Hanne Roed,Radikale,,40
Dorthe Hindborg,Socialdemokratiet,,39
Edith Vels,Enhedslisten,,39
Karina Aamann,Venstre,,39
Pia Halkjær,Socialdemokratiet,,38
Mathilde Hjort Bressum,Venstre,✓,37
Nikoline Erbs Hillers-Bendtsen,Alternativet,,37
Rikke Christensen,Radikale,,34
Susan Kronborg,Moderaterne,,33
Magnus Bigum,Danmarksdemokraterne,,31
Rune Christiansen,Radikale,,30
Peter Sporleder,Konservative,,28
Sara Pernille Jespersen,Moderaterne,,27
Thomas Monberg,Socialdemokratiet,✓,27
Rasmus T. Mortensen,SF,,25
Louise Svenstrup,Liberal Alliance,,23
Mathias Sikora,Radikale,,22
Maria Temponeras,Enhedslisten,,21
Steffen Hedegaard Attermann Brinch,Alternativet,,21
Rune Mikkelsen,Danmarksdemokraterne,,20
Kristjar Skajaa,Enhedslisten,,19
Viviane Ellasofie Karlsen,Borgernes Parti,,19
Jacob Skjærris,Konservative,,18
Morten Sørensen,Konservative,,18
Louise Stenmann,Socialdemokratiet,,18
Caroline Svejsø,Konservative,,18
Mathias Thybo,Socialdemokratiet,,17
Bjørn Jensen,Konservative,,17
Gitte Dreier Jacobsen,Alternativet,,16
Viktor Thyregod Sivertsen,Konservative,,15
Jens Kannegaard Lundager,Dansk Folkeparti,,15
Tina Kjær,Alternativet,,14
Martin Laursen,Enhedslisten,,14
Michael Faust Horsbøl,Konservative,,13
Søren Skjold Andersen,Udenfor parti,,13
Bjørn Olsen,Alternativet,,11
Christina Hedegaard Hansen,Enhedslisten,,11
Søren Jensen,Liberal Alliance,,11
Pernille Skærsø,Alternativet,,10
Emil M. D. Christensen,Venstre,,10
Morten Siig Henriksen,SF,,10
Lisbeth Ivanhoe,Enhedslisten,,10
Søren Vanting,Moderaterne,,9
Hans Skou,Venstre,,8
Bia Ndamukunda,Konservative,,8
Lars Abildskov,Liberal Alliance,,8
Michael Klausen,Liberal Alliance,,7
Anders Krojgaard Lund,Konservative,,7
Chris Hvidberg,Liberal Alliance,,7
Anna Calero,Alternativet,,6
Thor Clasen Jonasen,Alternativet,,6
Karina Konrad,Alternativet,,5
Henrik Rejnholt Andersen,Venstre,,5
Sebastian Støckler,Venstre,,5
Dennis Munk,Enhedslisten,,5
Jakob Jensen,Enhedslisten,,4
Michael Bang Pedersen,Borgernes Parti,,4
Tenna Duch Schaldemose,Alternativet,,3
Marcus Bech Pedersen,Alternativet,,2
Sasja Elkjær Krogsdal,Alternativet,,2
Kim Sørensen,Alternativet,,2
Niels Povlsgaard,Liberal Alliance,,2
Hanne K. Mortensen,Alternativet,,2
Thomas Quist Mortensen,Alternativet,,2
Thomas Due Nielsen,Alternativet,,1
Lissi Bagge,Alternativet,,1
Juma Nellemann Kruse,Alternativet,,0
Mads Damgaard Mortensen,Alternativet,,0
