kandidat,parti,valgt,stemmer
Benny Engelbrecht,Socialdemokratiet,✓,4888
Stephanie Lose,Venstre,✓,3180
Peter Kofod,Dansk Folkeparti,✓,1766
Frederik Klakk,Liberal Alliance,,969
Phillip Kjær Luscombe,Venstre,,831
Karina Lorentzen Dehnhardt,SF,✓,634
Henrik Frandsen,Moderaterne,✓,454
Lotte Rod,Radikale,,324
Thomas Andresen,Venstre,,290
Jesper Petersen,Socialdemokratiet,✓,284
Rasmus Elkjær Larsen,Konservative,,237
Frida Bruun,Moderaterne,✓,220
Cecilie Liv Hansen,Liberal Alliance,✓,190
Helena Artmann Andresen,Liberal Alliance,✓,180
Patrick Bryhl,Danmarksdemokraterne,,174
Karina Adsbøl,Danmarksdemokraterne,✓,174
Nadja Natalie Isaksen,Borgernes Parti,✓,166
Susanne Blegvad Posselt,SF,,150
Timm Bøttger,SF,,142
Morten Hell,Moderaterne,,136
Christian Rabjerg Madsen,Socialdemokratiet,✓,132
Ulrik Knudsen,Danmarksdemokraterne,✓,124
Selma Bolø,Enhedslisten,,123
Johanna-Maria Precht,Enhedslisten,,116
Christina Foldager,Konservative,,93
Anne Catherine Hoxcer Nielsen,Socialdemokratiet,,93
Anni Matthiesen,Venstre,✓,91
Birgitte Vind,Socialdemokratiet,✓,91
Thomas Majgaard Byrsing,Danmarksdemokraterne,,85
Steffen Larsen,Liberal Alliance,,83
Anne Marie Geisler Andersen,Radikale,,82
Ina Juul Jensen,SF,,74
Theis Kylling Hommeltoft,Socialdemokratiet,,72
Frederik Bloch Münster,Konservative,✓,72
Tobias Brus Mikkelsen,Dansk Folkeparti,,71
Josephine Alstrup Kofod,Dansk Folkeparti,✓,67
Tilde Holch Duedahl,Venstre,,66
Niels Henning Bladt,Venstre,,62
Maria Radoor,Socialdemokratiet,,59
Gitte Eriksen,Konservative,,59
Jan Køpke Christensen,Borgernes Parti,,56
Kim Andkjær Doberck,Dansk Folkeparti,,56
Rasmus Vestergaard Madsen,Enhedslisten,✓,55
Troels Overgaard,Venstre,,52
Tobias Jørgensen,Venstre,,48
Jesper Bierbaum,Venstre,,48
Jørn Dohrmann,Borgernes Parti,,44
Milo Gaarde,SF,,43
Christian Mutwa Christensen,SF,,38
Jannie Boysen Westergaard,Konservative,,38
Rune Bønnelykke,Dansk Folkeparti,✓,35
Anders Kronborg,Socialdemokratiet,✓,35
Christian Kirk,Dansk Folkeparti,,33
Lone Hansen,Moderaterne,,29
Lars Rømer Olsen,Socialdemokratiet,,28
Coco Mette Cecilie Kjærgaard,Alternativet,,28
Troels Simonsen,Liberal Alliance,,27
Mads-Magnus Damm,Dansk Folkeparti,,27
Kenneth Fredslund Petersen,Danmarksdemokraterne,,25
Cecilie C. Johannsen,Konservative,,25
Karsten Byrgesen,Borgernes Parti,,24
Lasse Skov Ovesen,Radikale,,24
Gitte Bjerremand Andersen,Moderaterne,,24
Carl Andersen,Liberal Alliance,,23
Kim Eskesen,Socialdemokratiet,,23
Nils Sjøberg,Radikale,,22
Sofus Teislev,SF,,22
Preben Friis-Hauge,Venstre,,22
Magnus Flensborg,SF,,21
Per Knudsen,Dansk Folkeparti,,19
Rune Højer,Dansk Folkeparti,,19
Kim Alexander Jensen,Liberal Alliance,,19
Sune Nørgaard Jakobsen,Dansk Folkeparti,,18
Rasmus Sandvej,Konservative,,18
Mikael Winther,Alternativet,,18
Gunver Birgitte Nielsen,Konservative,,18
Nicholas Wentworth,Radikale,,17
Tommi Christensen,Socialdemokratiet,,17
Klaus Sandfeld,Venstre,,17
Allan Svendsen,Dansk Folkeparti,,17
Mikael Hertig,Alternativet,,16
Jørgen Kvist,SF,✓,15
Ane Line Søndergaard,Alternativet,,15
Jakob Venø Heiwald,Danmarksdemokraterne,,14
Helene Hellesøe Appel,Enhedslisten,,13
Kris Jensen Skriver,Socialdemokratiet,,13
Christian Jørgensen,Liberal Alliance,,12
Lasse Hildingberg,Venstre,,12
Sarah Nørris,Enhedslisten,,12
Finn Hartvig Nielsen,Radikale,,11
Morten Trillingsgaard Høybye,Konservative,,11
Bjørn Laursen,Socialdemokratiet,,10
Astrid Fogh,Alternativet,,10
Helene Lykke,Liberal Alliance,,9
Holly Marie Turner,Enhedslisten,,9
Benny Dall,Enhedslisten,,9
John Rasmussen,Liberal Alliance,,9
Barbara Krarup Hansen,Radikale,,8
Christoffer Aagaard Melson,Venstre,✓,8
Mathias D. Christiansen,Enhedslisten,,7
Christian Fini Mosegaard,Liberal Alliance,,7
Lasse Harder Schousboe,Enhedslisten,,7
Jim Zakaria,Dansk Folkeparti,,6
Bo Nielsen,Alternativet,,6
Hans Biering Fonsbøl,Alternativet,,6
Carsten Sohl,Alternativet,,5
Bodil Nielsen,Alternativet,,4
Lilje Holm,Enhedslisten,,4
Ole Lynggaard Jørgensen,Radikale,,3
Kristian Thomsen,Konservative,,3
Dan Arnløv,Konservative,,3
Jens Langer Schou,Konservative,,3
Christian Tarbensen,Konservative,,3
Lars Mogensen,Enhedslisten,,2
Bjarne Lastein,Radikale,,2
Edvard Korsbæk,Alternativet,,1
