kandidat,parti,valgt,stemmer
Stephanie Lose,Venstre,✓,4276
Anders Kronborg,Socialdemokratiet,✓,2152
Peter Kofod,Dansk Folkeparti,✓,1049
Klaus Sandfeld,Venstre,,557
Frederik Bloch Münster,Konservative,✓,473
Karina Lorentzen Dehnhardt,SF,✓,425
Frida Bruun,Moderaterne,✓,343
Anne Marie Geisler Andersen,Radikale,,267
Henrik Frandsen,Moderaterne,✓,257
Anni Matthiesen,Venstre,✓,249
Karina Adsbøl,Danmarksdemokraterne,✓,238
Christian Rabjerg Madsen,Socialdemokratiet,✓,232
Jørgen Kvist,SF,✓,217
Carl Andersen,Liberal Alliance,,208
Anne Catherine Hoxcer Nielsen,Socialdemokratiet,,193
Jesper Petersen,Socialdemokratiet,✓,180
Cecilie Liv Hansen,Liberal Alliance,✓,165
Benny Engelbrecht,Socialdemokratiet,✓,156
Christian Kirk,Dansk Folkeparti,,138
Steffen Larsen,Liberal Alliance,,131
Lotte Rod,Radikale,,127
Helena Artmann Andresen,Liberal Alliance,✓,124
Ulrik Knudsen,Danmarksdemokraterne,✓,116
Kim Alexander Jensen,Liberal Alliance,,107
Nadja Natalie Isaksen,Borgernes Parti,✓,88
Maria Radoor,Socialdemokratiet,,84
Sarah Nørris,Enhedslisten,,81
Milo Gaarde,SF,,76
Rasmus Vestergaard Madsen,Enhedslisten,✓,72
Birgitte Vind,Socialdemokratiet,✓,71
Mads-Magnus Damm,Dansk Folkeparti,,68
Kim Eskesen,Socialdemokratiet,,64
Ina Juul Jensen,SF,,56
Josephine Alstrup Kofod,Dansk Folkeparti,✓,54
Gitte Eriksen,Konservative,,54
Preben Friis-Hauge,Venstre,,50
Tilde Holch Duedahl,Venstre,,47
Kris Jensen Skriver,Socialdemokratiet,,45
Jannie Boysen Westergaard,Konservative,,44
Selma Bolø,Enhedslisten,,40
Niels Henning Bladt,Venstre,,40
Morten Hell,Moderaterne,,39
Karsten Byrgesen,Borgernes Parti,,37
Christina Foldager,Konservative,,36
Kenneth Fredslund Petersen,Danmarksdemokraterne,,35
Gitte Bjerremand Andersen,Moderaterne,,34
Rasmus Sandvej,Konservative,,32
Troels Simonsen,Liberal Alliance,,31
Tobias Jørgensen,Venstre,,30
Christian Mutwa Christensen,SF,,29
Lars Rømer Olsen,Socialdemokratiet,,28
Sofus Teislev,SF,,28
Lone Hansen,Moderaterne,,28
Cecilie C. Johannsen,Konservative,,27
Troels Overgaard,Venstre,,27
Coco Mette Cecilie Kjærgaard,Alternativet,,25
Jørn Dohrmann,Borgernes Parti,,24
Helene Lykke,Liberal Alliance,,24
Allan Svendsen,Dansk Folkeparti,,23
Jakob Venø Heiwald,Danmarksdemokraterne,,22
Sune Nørgaard Jakobsen,Dansk Folkeparti,,22
Per Knudsen,Dansk Folkeparti,,22
Kim Andkjær Doberck,Dansk Folkeparti,,21
Rune Bønnelykke,Dansk Folkeparti,✓,20
Frederik Klakk,Liberal Alliance,,19
Tommi Christensen,Socialdemokratiet,,19
Jan Køpke Christensen,Borgernes Parti,,18
Jesper Bierbaum,Venstre,,18
Thomas Majgaard Byrsing,Danmarksdemokraterne,,17
Thomas Andresen,Venstre,,17
Theis Kylling Hommeltoft,Socialdemokratiet,,17
Christian Tarbensen,Konservative,,16
Tobias Brus Mikkelsen,Dansk Folkeparti,,15
Rasmus Elkjær Larsen,Konservative,,15
Timm Bøttger,SF,,14
Christian Jørgensen,Liberal Alliance,,13
Edvard Korsbæk,Alternativet,,12
Nicholas Wentworth,Radikale,,11
Rune Højer,Dansk Folkeparti,,10
Susanne Blegvad Posselt,SF,,10
Magnus Flensborg,SF,,10
Nils Sjøberg,Radikale,,10
Lars Mogensen,Enhedslisten,,10
Helene Hellesøe Appel,Enhedslisten,,10
John Rasmussen,Liberal Alliance,,9
Gunver Birgitte Nielsen,Konservative,,9
Patrick Bryhl,Danmarksdemokraterne,,9
Lasse Harder Schousboe,Enhedslisten,,9
Dan Arnløv,Konservative,,8
Ane Line Søndergaard,Alternativet,,8
Lasse Hildingberg,Venstre,,7
Phillip Kjær Luscombe,Venstre,,7
Lasse Skov Ovesen,Radikale,,7
Astrid Fogh,Alternativet,,7
Morten Trillingsgaard Høybye,Konservative,,6
Holly Marie Turner,Enhedslisten,,6
Mathias D. Christiansen,Enhedslisten,,5
Jim Zakaria,Dansk Folkeparti,,4
Bodil Nielsen,Alternativet,,4
Christian Fini Mosegaard,Liberal Alliance,,4
Barbara Krarup Hansen,Radikale,,4
Lilje Holm,Enhedslisten,,3
Johanna-Maria Precht,Enhedslisten,,3
Mikael Winther,Alternativet,,3
Kristian Thomsen,Konservative,,3
Ole Lynggaard Jørgensen,Radikale,,3
Finn Hartvig Nielsen,Radikale,,3
Bo Nielsen,Alternativet,,2
Bjørn Laursen,Socialdemokratiet,,2
Hans Biering Fonsbøl,Alternativet,,2
Bjarne Lastein,Radikale,,2
Jens Langer Schou,Konservative,,1
Mikael Hertig,Alternativet,,1
Christoffer Aagaard Melson,Venstre,✓,1
Carsten Sohl,Alternativet,,1
Benny Dall,Enhedslisten,,1
