Afstemningsområde,Partibogstav,Stemmetal,procent_22
12. Særslev,S,554,30.2
12. Særslev,R,22,1.2
12. Særslev,K,78,4.2
12. Særslev,NB,134,7.3
12. Særslev,SF,122,6.6
12. Særslev,LA,86,4.7
12. Særslev,M,140,7.6
12. Særslev,DF,86,4.7
12. Særslev,FG,4,0.2
12. Særslev,V,314,17.1
12. Særslev,ALT,10,0.5
12. Særslev,DD,246,13.4
12. Særslev,EL,32,1.7
12. Søften,UP,0,0.0
12. Søften,S,1166,27.6
12. Søften,R,190,4.5
12. Søften,K,378,8.9
12. Søften,NB,132,3.1
12. Søften,SF,352,8.3
12. Søften,LA,400,9.5
12. Søften,M,444,10.5
12. Søften,DF,66,1.6
12. Søften,FG,0,0.0
12. Søften,V,668,15.8
12. Søften,ALT,78,1.8
12. Søften,DD,228,5.4
12. Søften,EL,96,2.3
12. Thorshøj,UP,2,0.2
12. Thorshøj,S,268,30.7
12. Thorshøj,R,2,0.2
12. Thorshøj,K,26,3.0
12. Thorshøj,NB,42,4.8
12. Thorshøj,SF,18,2.1
12. Thorshøj,LA,36,4.1
12. Thorshøj,M,42,4.8
12. Thorshøj,DF,26,3.0
12. Thorshøj,FG,0,0.0
12. Thorshøj,V,130,14.9
12. Thorshøj,ALT,20,2.3
12. Thorshøj,DD,250,28.6
12. Thorshøj,EL,8,0.9
12. Tibirke,UP,16,0.6
12. Tibirke,S,656,25.2
12. Tibirke,R,174,6.7
12. Tibirke,K,142,5.5
12. Tibirke,NB,74,2.8
12. Tibirke,SF,286,11.0
12. Tibirke,LA,160,6.1
12. Tibirke,M,292,11.2
12. Tibirke,DF,102,3.9
12. Tibirke,FG,6,0.2
12. Tibirke,V,248,9.5
12. Tibirke,ALT,158,6.1
12. Tibirke,DD,92,3.5
12. Tibirke,EL,186,7.1
12. Tinglev,UP,4,0.1
12. Tinglev,S,968,27.2
12. Tinglev,R,64,1.8
12. Tinglev,K,156,4.4
12. Tinglev,NB,328,9.2
12. Tinglev,SF,140,3.9
12. Tinglev,LA,172,4.8
12. Tinglev,M,232,6.5
12. Tinglev,DF,138,3.9
12. Tinglev,FG,4,0.1
12. Tinglev,V,664,18.7
12. Tinglev,ALT,10,0.3
12. Tinglev,DD,620,17.4
12. Tinglev,EL,40,1.1
12. Toldkammeret,UP,6,0.2
12. Toldkammeret,S,998,27.2
12. Toldkammeret,R,178,4.8
12. Toldkammeret,K,232,6.3
12. Toldkammeret,NB,114,3.1
12. Toldkammeret,SF,324,8.8
12. Toldkammeret,LA,344,9.4
12. Toldkammeret,M,382,10.4
12. Toldkammeret,DF,70,1.9
12. Toldkammeret,FG,2,0.1
12. Toldkammeret,V,310,8.4
12. Toldkammeret,ALT,248,6.8
12. Toldkammeret,DD,114,3.1
12. Toldkammeret,EL,342,9.3
12. Velling,UP,0,0.0
12. Velling,S,384,21.2
12. Velling,R,40,2.2
12. Velling,K,102,5.6
12. Velling,NB,26,1.4
12. Velling,SF,152,8.4
12. Velling,LA,112,6.2
12. Velling,M,160,8.8
12. Velling,DF,8,0.4
12. Velling,FG,2,0.1
12. Velling,V,452,24.9
12. Velling,ALT,60,3.3
12. Velling,DD,232,12.8
12. Velling,EL,58,3.2
12. Vester Aaby,UP,2,0.1
12. Vester Aaby,S,764,34.6
12. Vester Aaby,R,38,1.7
12. Vester Aaby,K,58,2.6
12. Vester Aaby,NB,102,4.6
12. Vester Aaby,SF,176,8.0
12. Vester Aaby,LA,82,3.7
12. Vester Aaby,M,160,7.3
12. Vester Aaby,DF,100,4.5
12. Vester Aaby,FG,8,0.4
12. Vester Aaby,V,258,11.7
12. Vester Aaby,ALT,54,2.4
12. Vester Aaby,DD,270,12.2
12. Vester Aaby,EL,130,5.9
12. Virring,UP,2,0.1
12. Virring,S,840,26.5
12. Virring,R,98,3.1
12. Virring,K,122,3.8
12. Virring,NB,210,6.6
12. Virring,SF,206,6.5
12. Virring,LA,296,9.3
12. Virring,M,322,10.1
12. Virring,DF,76,2.4
12. Virring,FG,0,0.0
12. Virring,V,444,14.0
12. Virring,ALT,98,3.1
12. Virring,DD,344,10.8
12. Virring,EL,108,3.4
12. Vrejlev-Hæstrup,UP,4,0.2
12. Vrejlev-Hæstrup,S,628,28.8
12. Vrejlev-Hæstrup,R,34,1.6
12. Vrejlev-Hæstrup,K,126,5.8
12. Vrejlev-Hæstrup,NB,136,6.2
12. Vrejlev-Hæstrup,SF,76,3.5
12. Vrejlev-Hæstrup,LA,112,5.1
12. Vrejlev-Hæstrup,M,132,6.1
12. Vrejlev-Hæstrup,DF,36,1.7
12. Vrejlev-Hæstrup,FG,0,0.0
12. Vrejlev-Hæstrup,V,322,14.8
12. Vrejlev-Hæstrup,ALT,6,0.3
12. Vrejlev-Hæstrup,DD,536,24.6
12. Vrejlev-Hæstrup,EL,20,0.9
13. 3. Syd,UP,42,0.3
13. 3. Syd,S,2620,16.0
13. 3. Syd,R,1186,7.2
13. 3. Syd,K,566,3.5
13. 3. Syd,NB,180,1.1
13. 3. Syd,SF,1780,10.9
13. 3. Syd,LA,1192,7.3
13. 3. Syd,M,1474,9.0
13. 3. Syd,DF,136,0.8
13. 3. Syd,FG,168,1.0
13. 3. Syd,V,1126,6.9
13. 3. Syd,ALT,2636,16.1
13. 3. Syd,DD,192,1.2
13. 3. Syd,EL,3062,18.7
13. Allerslev,UP,4,0.3
13. Allerslev,S,386,25.5
13. Allerslev,R,26,1.7
13. Allerslev,K,60,4.0
13. Allerslev,NB,70,4.6
13. Allerslev,SF,156,10.3
13. Allerslev,LA,86,5.7
13. Allerslev,M,158,10.4
13. Allerslev,DF,60,4.0
13. Allerslev,FG,8,0.5
13. Allerslev,V,198,13.1
13. Allerslev,ALT,60,4.0
13. Allerslev,DD,156,10.3
13. Allerslev,EL,84,5.5
13. Aulum,UP,4,0.1
13. Aulum,S,1076,20.3
13. Aulum,R,52,1.0
13. Aulum,K,342,6.5
13. Aulum,NB,158,3.0
13. Aulum,SF,226,4.3
13. Aulum,LA,404,7.6
13. Aulum,M,300,5.7
13. Aulum,DF,88,1.7
13. Aulum,FG,4,0.1
13. Aulum,V,1426,26.9
13. Aulum,ALT,30,0.6
13. Aulum,DD,870,16.4
13. Aulum,EL,58,1.1
13. Bjergby-Mygdal,UP,0,0.0
13. Bjergby-Mygdal,S,618,27.6
13. Bjergby-Mygdal,R,44,2.0
13. Bjergby-Mygdal,K,106,4.7
13. Bjergby-Mygdal,NB,108,4.8
13. Bjergby-Mygdal,SF,92,4.1
13. Bjergby-Mygdal,LA,146,6.5
13. Bjergby-Mygdal,M,140,6.3
13. Bjergby-Mygdal,DF,32,1.4
13. Bjergby-Mygdal,FG,0,0.0
13. Bjergby-Mygdal,V,430,19.2
13. Bjergby-Mygdal,ALT,28,1.3
13. Bjergby-Mygdal,DD,424,18.9
13. Bjergby-Mygdal,EL,54,2.4
13. Boeslunde,UP,2,0.1
13. Boeslunde,S,530,29.1
13. Boeslunde,R,20,1.1
13. Boeslunde,K,76,4.2
13. Boeslunde,NB,108,5.9
13. Boeslunde,SF,102,5.6
13. Boeslunde,LA,110,6.0
13. Boeslunde,M,192,10.5
13. Boeslunde,DF,76,4.2
13. Boeslunde,FG,4,0.2
13. Boeslunde,V,304,16.7
13. Boeslunde,ALT,26,1.4
13. Boeslunde,DD,212,11.6
13. Boeslunde,EL,58,3.2
13. Brædstrup,UP,2,0.0
13. Brædstrup,S,1774,28.9
13. Brædstrup,R,98,1.6
13. Brædstrup,K,280,4.6
13. Brædstrup,NB,264,4.3
13. Brædstrup,SF,280,4.6
13. Brædstrup,LA,508,8.3
13. Brædstrup,M,572,9.3
13. Brædstrup,DF,188,3.1
13. Brædstrup,FG,8,0.1
13. Brædstrup,V,1000,16.3
13. Brædstrup,ALT,98,1.6
13. Brædstrup,DD,874,14.2
13. Brædstrup,EL,170,2.8
13. Ejby,UP,2,0.0
13. Ejby,S,1244,25.1
13. Ejby,R,78,1.6
13. Ejby,K,242,4.9
13. Ejby,NB,230,4.6
13. Ejby,SF,548,11.0
13. Ejby,LA,438,8.8
13. Ejby,M,640,12.9
13. Ejby,DF,162,3.3
13. Ejby,FG,20,0.4
13. Ejby,V,782,15.8
13. Ejby,ALT,84,1.7
13. Ejby,DD,382,7.7
13. Ejby,EL,106,2.1
13. Espe,UP,4,0.2
13. Espe,S,578,31.1
13. Espe,R,20,1.1
13. Espe,K,80,4.3
13. Espe,NB,74,4.0
13. Espe,SF,104,5.6
13. Espe,LA,94,5.1
13. Espe,M,168,9.1
13. Espe,DF,58,3.1
13. Espe,FG,2,0.1
13. Espe,V,322,17.3
13. Espe,ALT,52,2.8
13. Espe,DD,240,12.9
13. Espe,EL,56,3.0
13. Fjerritslev,UP,8,0.2
13. Fjerritslev,S,1844,34.9
13. Fjerritslev,R,64,1.2
13. Fjerritslev,K,162,3.1
13. Fjerritslev,NB,156,3.0
13. Fjerritslev,SF,258,4.9
13. Fjerritslev,LA,278,5.3
13. Fjerritslev,M,296,5.6
13. Fjerritslev,DF,120,2.3
13. Fjerritslev,FG,4,0.1
13. Fjerritslev,V,786,14.9
13. Fjerritslev,ALT,100,1.9
13. Fjerritslev,DD,1062,20.1
13. Fjerritslev,EL,82,1.6
13. Gørløse,UP,0,0.0
13. Gørløse,S,436,23.8
13. Gørløse,R,32,1.7
13. Gørløse,K,152,8.3
13. Gørløse,NB,88,4.8
13. Gørløse,SF,120,6.5
13. Gørløse,LA,208,11.3
13. Gørløse,M,250,13.6
13. Gørløse,DF,56,3.1
13. Gørløse,FG,16,0.9
13. Gørløse,V,210,11.5
13. Gørløse,ALT,32,1.7
13. Gørløse,DD,158,8.6
13. Gørløse,EL,68,3.7
13. Haarby,UP,8,0.2
13. Haarby,S,1658,39.8
13. Haarby,R,28,0.7
13. Haarby,K,158,3.8
13. Haarby,NB,202,4.9
13. Haarby,SF,208,5.0
13. Haarby,LA,156,3.7
13. Haarby,M,262,6.3
13. Haarby,DF,136,3.3
13. Haarby,FG,12,0.3
13. Haarby,V,782,18.8
13. Haarby,ALT,54,1.3
13. Haarby,DD,436,10.5
13. Haarby,EL,56,1.3
13. Hoptrup,UP,0,0.0
13. Hoptrup,S,418,27.9
13. Hoptrup,R,14,0.9
13. Hoptrup,K,50,3.3
13. Hoptrup,NB,136,9.1
13. Hoptrup,SF,86,5.7
13. Hoptrup,LA,64,4.3
13. Hoptrup,M,126,8.4
13. Hoptrup,DF,76,5.1
13. Hoptrup,FG,0,0.0
13. Hoptrup,V,252,16.8
13. Hoptrup,ALT,34,2.3
13. Hoptrup,DD,172,11.5
13. Hoptrup,EL,42,2.8
13. Hornbækhallen,UP,0,0.0
13. Hornbækhallen,S,1498,26.0
13. Hornbækhallen,R,166,2.9
13. Hornbækhallen,K,322,5.6
13. Hornbækhallen,NB,166,2.9
13. Hornbækhallen,SF,280,4.9
13. Hornbækhallen,LA,740,12.9
13. Hornbækhallen,M,612,10.6
13. Hornbækhallen,DF,108,1.9
13. Hornbækhallen,FG,8,0.1
13. Hornbækhallen,V,1232,21.4
13. Hornbækhallen,ALT,66,1.1
13. Hornbækhallen,DD,402,7.0
13. Hornbækhallen,EL,138,2.4
13. Jyllinge,UP,12,0.1
13. Jyllinge,S,2102,22.3
13. Jyllinge,R,270,2.9
13. Jyllinge,K,730,7.7
13. Jyllinge,NB,368,3.9
13. Jyllinge,SF,744,7.9
13. Jyllinge,LA,1024,10.8
13. Jyllinge,M,1530,16.2
13. Jyllinge,DF,326,3.5
13. Jyllinge,FG,26,0.3
13. Jyllinge,V,1428,15.1
13. Jyllinge,ALT,180,1.9
13. Jyllinge,DD,518,5.5
13. Jyllinge,EL,166,1.8
13. Kliplev,UP,2,0.1
13. Kliplev,S,678,26.6
13. Kliplev,R,32,1.3
13. Kliplev,K,92,3.6
13. Kliplev,NB,296,11.6
13. Kliplev,SF,76,3.0
13. Kliplev,LA,118,4.6
13. Kliplev,M,202,7.9
13. Kliplev,DF,90,3.5
13. Kliplev,FG,2,0.1
13. Kliplev,V,402,15.8
13. Kliplev,ALT,24,0.9
13. Kliplev,DD,478,18.8
13. Kliplev,EL,48,1.9
13. Kullerup Og Refsvindinge,UP,0,0.0
13. Kullerup Og Refsvindinge,S,456,29.5
13. Kullerup Og Refsvindinge,R,28,1.8
13. Kullerup Og Refsvindinge,K,54,3.5
13. Kullerup Og Refsvindinge,NB,86,5.6
13. Kullerup Og Refsvindinge,SF,88,5.7
13. Kullerup Og Refsvindinge,LA,72,4.7
13. Kullerup Og Refsvindinge,M,102,6.6
13. Kullerup Og Refsvindinge,DF,62,4.0
13. Kullerup Og Refsvindinge,FG,2,0.1
13. Kullerup Og Refsvindinge,V,268,17.3
13. Kullerup Og Refsvindinge,ALT,24,1.6
13. Kullerup Og Refsvindinge,DD,250,16.2
13. Kullerup Og Refsvindinge,EL,52,3.4
13. Kvartershuset Syd,UP,6,0.2
13. Kvartershuset Syd,S,1204,35.2
13. Kvartershuset Syd,R,96,2.8
13. Kvartershuset Syd,K,114,3.3
13. Kvartershuset Syd,NB,130,3.8
13. Kvartershuset Syd,SF,214,6.3
13. Kvartershuset Syd,LA,192,5.6
13. Kvartershuset Syd,M,274,8.0
13. Kvartershuset Syd,DF,72,2.1
13. Kvartershuset Syd,FG,220,6.4
13. Kvartershuset Syd,V,330,9.7
13. Kvartershuset Syd,ALT,74,2.2
13. Kvartershuset Syd,DD,250,7.3
13. Kvartershuset Syd,EL,210,6.1
13. Lumby Skole,UP,6,0.4
13. Lumby Skole,S,476,31.4
13. Lumby Skole,R,28,1.8
13. Lumby Skole,K,86,5.7
13. Lumby Skole,NB,60,4.0
13. Lumby Skole,SF,140,9.2
13. Lumby Skole,LA,68,4.5
13. Lumby Skole,M,126,8.3
13. Lumby Skole,DF,40,2.6
13. Lumby Skole,FG,10,0.7
13. Lumby Skole,V,206,13.6
13. Lumby Skole,ALT,34,2.2
13. Lumby Skole,DD,182,12.0
13. Lumby Skole,EL,50,3.3
13. Maribo,UP,0,0.0
13. Maribo,S,3468,42.8
13. Maribo,R,96,1.2
13. Maribo,K,302,3.7
13. Maribo,NB,264,3.3
13. Maribo,SF,540,6.7
13. Maribo,LA,370,4.6
13. Maribo,M,698,8.6
13. Maribo,DF,284,3.5
13. Maribo,FG,8,0.1
13. Maribo,V,1072,13.2
13. Maribo,ALT,68,0.8
13. Maribo,DD,712,8.8
13. Maribo,EL,210,2.6
13. Nr. Asmindrup,UP,2,0.2
13. Nr. Asmindrup,S,422,32.7
13. Nr. Asmindrup,R,16,1.2
13. Nr. Asmindrup,K,34,2.6
13. Nr. Asmindrup,NB,70,5.4
13. Nr. Asmindrup,SF,98,7.6
13. Nr. Asmindrup,LA,54,4.2
13. Nr. Asmindrup,M,100,7.7
13. Nr. Asmindrup,DF,70,5.4
13. Nr. Asmindrup,FG,4,0.3
13. Nr. Asmindrup,V,134,10.4
13. Nr. Asmindrup,ALT,28,2.2
13. Nr. Asmindrup,DD,178,13.8
13. Nr. Asmindrup,EL,82,6.3
13. Nørre Nebel,UP,2,0.1
13. Nørre Nebel,S,664,24.3
13. Nørre Nebel,R,42,1.5
13. Nørre Nebel,K,120,4.4
13. Nørre Nebel,NB,144,5.3
13. Nørre Nebel,SF,88,3.2
13. Nørre Nebel,LA,150,5.5
13. Nørre Nebel,M,248,9.1
13. Nørre Nebel,DF,64,2.3
13. Nørre Nebel,FG,0,0.0
13. Nørre Nebel,V,628,23.0
13. Nørre Nebel,ALT,38,1.4
13. Nørre Nebel,DD,466,17.1
13. Nørre Nebel,EL,54,2.0
13. Overlade,UP,2,0.2
13. Overlade,S,268,22.9
13. Overlade,R,16,1.4
13. Overlade,K,32,2.7
13. Overlade,NB,68,5.8
13. Overlade,SF,114,9.8
13. Overlade,LA,46,3.9
13. Overlade,M,32,2.7
13. Overlade,DF,44,3.8
13. Overlade,FG,0,0.0
13. Overlade,V,240,20.5
13. Overlade,ALT,12,1.0
13. Overlade,DD,276,23.6
13. Overlade,EL,14,1.2
13. Overlund,UP,16,0.1
13. Overlund,S,4554,25.8
13. Overlund,R,464,2.6
13. Overlund,K,3410,19.3
13. Overlund,NB,354,2.0
13. Overlund,SF,1494,8.5
13. Overlund,LA,1214,6.9
13. Overlund,M,1164,6.6
13. Overlund,DF,256,1.4
13. Overlund,FG,14,0.1
13. Overlund,V,2508,14.2
13. Overlund,ALT,362,2.1
13. Overlund,DD,1278,7.2
13. Overlund,EL,454,2.6
13. Reerslev Skole,UP,0,0.0
13. Reerslev Skole,S,308,24.7
13. Reerslev Skole,R,54,4.3
13. Reerslev Skole,K,84,6.7
13. Reerslev Skole,NB,70,5.6
13. Reerslev Skole,SF,100,8.0
13. Reerslev Skole,LA,112,9.0
13. Reerslev Skole,M,166,13.3
13. Reerslev Skole,DF,52,4.2
13. Reerslev Skole,FG,8,0.6
13. Reerslev Skole,V,128,10.3
13. Reerslev Skole,ALT,34,2.7
13. Reerslev Skole,DD,68,5.5
13. Reerslev Skole,EL,58,4.7
13. Roslev,UP,0,0.0
13. Roslev,S,830,29.7
13. Roslev,R,38,1.4
13. Roslev,K,118,4.2
13. Roslev,NB,68,2.4
13. Roslev,SF,126,4.5
13. Roslev,LA,130,4.7
13. Roslev,M,154,5.5
13. Roslev,DF,58,2.1
13. Roslev,FG,4,0.1
13. Roslev,V,336,12.0
13. Roslev,ALT,28,1.0
13. Roslev,DD,854,30.6
13. Roslev,EL,26,0.9
13. Rynkevang,UP,14,0.4
13. Rynkevang,S,1388,35.8
13. Rynkevang,R,68,1.8
13. Rynkevang,K,96,2.5
13. Rynkevang,NB,252,6.5
13. Rynkevang,SF,324,8.4
13. Rynkevang,LA,194,5.0
13. Rynkevang,M,262,6.8
13. Rynkevang,DF,276,7.1
13. Rynkevang,FG,4,0.1
13. Rynkevang,V,426,11.0
13. Rynkevang,ALT,68,1.8
13. Rynkevang,DD,354,9.1
13. Rynkevang,EL,130,3.4
13. Sakskøbing,UP,18,0.3
13. Sakskøbing,S,2800,39.9
13. Sakskøbing,R,64,0.9
13. Sakskøbing,K,260,3.7
13. Sakskøbing,NB,298,4.2
13. Sakskøbing,SF,600,8.6
13. Sakskøbing,LA,278,4.0
13. Sakskøbing,M,602,8.6
13. Sakskøbing,DF,518,7.4
13. Sakskøbing,FG,12,0.2
13. Sakskøbing,V,650,9.3
13. Sakskøbing,ALT,66,0.9
13. Sakskøbing,DD,644,9.2
13. Sakskøbing,EL,190,2.7
13. Sejs,UP,10,0.2
13. Sejs,S,1352,22.1
13. Sejs,R,264,4.3
13. Sejs,K,510,8.3
13. Sejs,NB,110,1.8
13. Sejs,SF,536,8.7
13. Sejs,LA,632,10.3
13. Sejs,M,806,13.2
13. Sejs,DF,60,1.0
13. Sejs,FG,0,0.0
13. Sejs,V,1142,18.6
13. Sejs,ALT,190,3.1
13. Sejs,DD,284,4.6
13. Sejs,EL,220,3.6
13. Skelby,UP,4,0.5
13. Skelby,S,222,26.0
13. Skelby,R,16,1.9
13. Skelby,K,34,4.0
13. Skelby,NB,72,8.4
13. Skelby,SF,50,5.9
13. Skelby,LA,72,8.4
13. Skelby,M,88,10.3
13. Skelby,DF,52,6.1
13. Skelby,FG,0,0.0
13. Skelby,V,104,12.2
13. Skelby,ALT,32,3.7
13. Skelby,DD,76,8.9
13. Skelby,EL,28,3.3
13. Solbjergskolen,UP,2,0.0
13. Solbjergskolen,S,1884,26.7
13. Solbjergskolen,R,240,3.4
13. Solbjergskolen,K,338,4.8
13. Solbjergskolen,NB,284,4.0
13. Solbjergskolen,SF,644,9.1
13. Solbjergskolen,LA,692,9.8
13. Solbjergskolen,M,662,9.4
13. Solbjergskolen,DF,114,1.6
13. Solbjergskolen,FG,22,0.3
13. Solbjergskolen,V,1168,16.5
13. Solbjergskolen,ALT,160,2.3
13. Solbjergskolen,DD,548,7.8
13. Solbjergskolen,EL,278,3.9
13. Stouby,UP,4,0.2
13. Stouby,S,500,22.3
13. Stouby,R,56,2.5
13. Stouby,K,100,4.5
13. Stouby,NB,150,6.7
13. Stouby,SF,110,4.9
13. Stouby,LA,254,11.3
13. Stouby,M,186,8.3
13. Stouby,DF,34,1.5
13. Stouby,FG,2,0.1
13. Stouby,V,424,18.9
13. Stouby,ALT,40,1.8
13. Stouby,DD,278,12.4
13. Stouby,EL,78,3.5
13. Svinninge,UP,14,0.3
13. Svinninge,S,1486,34.7
13. Svinninge,R,70,1.6
13. Svinninge,K,112,2.6
13. Svinninge,NB,198,4.6
13. Svinninge,SF,428,10.0
13. Svinninge,LA,202,4.7
13. Svinninge,M,402,9.4
13. Svinninge,DF,214,5.0
13. Svinninge,FG,12,0.3
13. Svinninge,V,524,12.2
13. Svinninge,ALT,58,1.4
13. Svinninge,DD,488,11.4
13. Svinninge,EL,68,1.6
13. Søndersø,UP,0,0.0
13. Søndersø,S,1958,36.9
13. Søndersø,R,52,1.0
13. Søndersø,K,276,5.2
13. Søndersø,NB,212,4.0
13. Søndersø,SF,342,6.4
13. Søndersø,LA,324,6.1
13. Søndersø,M,412,7.8
13. Søndersø,DF,184,3.5
13. Søndersø,FG,16,0.3
13. Søndersø,V,840,15.8
13. Søndersø,ALT,54,1.0
13. Søndersø,DD,540,10.2
13. Søndersø,EL,92,1.7
13. Vester Sottrup,UP,0,0.0
13. Vester Sottrup,S,1214,30.2
13. Vester Sottrup,R,50,1.2
13. Vester Sottrup,K,170,4.2
13. Vester Sottrup,NB,364,9.1
13. Vester Sottrup,SF,166,4.1
13. Vester Sottrup,LA,286,7.1
13. Vester Sottrup,M,322,8.0
13. Vester Sottrup,DF,98,2.4
13. Vester Sottrup,FG,14,0.3
13. Vester Sottrup,V,732,18.2
13. Vester Sottrup,ALT,44,1.1
13. Vester Sottrup,DD,488,12.1
13. Vester Sottrup,EL,56,1.4
13. Vigersted,UP,2,0.1
13. Vigersted,S,376,22.7
13. Vigersted,R,40,2.4
13. Vigersted,K,92,5.5
13. Vigersted,NB,72,4.3
13. Vigersted,SF,194,11.7
13. Vigersted,LA,94,5.7
13. Vigersted,M,230,13.9
13. Vigersted,DF,56,3.4
13. Vigersted,FG,2,0.1
13. Vigersted,V,194,11.7
13. Vigersted,ALT,38,2.3
13. Vigersted,DD,210,12.7
13. Vigersted,EL,60,3.6
13. Voerså,UP,6,0.2
13. Voerså,S,774,31.2
13. Voerså,R,16,0.6
13. Voerså,K,66,2.7
13. Voerså,NB,112,4.5
13. Voerså,SF,62,2.5
13. Voerså,LA,102,4.1
13. Voerså,M,98,3.9
13. Voerså,DF,82,3.3
13. Voerså,FG,4,0.2
13. Voerså,V,454,18.3
13. Voerså,ALT,28,1.1
13. Voerså,DD,614,24.7
13. Voerså,EL,62,2.5
13. Voldum,UP,0,0.0
13. Voldum,S,368,24.3
13. Voldum,R,20,1.3
13. Voldum,K,88,5.8
13. Voldum,NB,124,8.2
13. Voldum,SF,92,6.1
13. Voldum,LA,118,7.8
13. Voldum,M,84,5.6
13. Voldum,DF,80,5.3
13. Voldum,FG,0,0.0
13. Voldum,V,254,16.8
13. Voldum,ALT,14,0.9
13. Voldum,DD,236,15.6
13. Voldum,EL,30,2.0
13. Vonsild,UP,2,0.0
13. Vonsild,S,1368,30.0
13. Vonsild,R,114,2.5
13. Vonsild,K,224,4.9
13. Vonsild,NB,238,5.2
13. Vonsild,SF,296,6.5
13. Vonsild,LA,416,9.1
13. Vonsild,M,440,9.7
13. Vonsild,DF,116,2.5
13. Vonsild,FG,8,0.2
13. Vonsild,V,732,16.1
13. Vonsild,ALT,50,1.1
13. Vonsild,DD,456,10.0
13. Vonsild,EL,74,1.6
13. Ølstrup,UP,2,0.2
13. Ølstrup,S,124,11.9
13. Ølstrup,R,16,1.5
13. Ølstrup,K,36,3.4
13. Ølstrup,NB,40,3.8
13. Ølstrup,SF,36,3.4
13. Ølstrup,LA,76,7.3
13. Ølstrup,M,40,3.8
13. Ølstrup,DF,12,1.1
13. Ølstrup,FG,10,1.0
13. Ølstrup,V,456,43.7
13. Ølstrup,ALT,16,1.5
13. Ølstrup,DD,156,14.9
13. Ølstrup,EL,14,1.3
13. Øster Lindet,UP,0,0.0
13. Øster Lindet,S,206,22.0
13. Øster Lindet,R,6,0.6
13. Øster Lindet,K,58,6.2
13. Øster Lindet,NB,130,13.9
13. Øster Lindet,SF,48,5.1
13. Øster Lindet,LA,78,8.3
13. Øster Lindet,M,32,3.4
13. Øster Lindet,DF,22,2.3
13. Øster Lindet,FG,0,0.0
13. Øster Lindet,V,186,19.8
13. Øster Lindet,ALT,10,1.1
13. Øster Lindet,DD,148,15.8
13. Øster Lindet,EL,6,0.6
13. Østerild,UP,2,0.1
13. Østerild,S,492,31.6
13. Østerild,R,10,0.6
13. Østerild,K,48,3.1
13. Østerild,NB,82,5.3
13. Østerild,SF,38,2.4
13. Østerild,LA,88,5.6
13. Østerild,M,62,4.0
13. Østerild,DF,18,1.2
13. Østerild,FG,2,0.1
13. Østerild,V,276,17.7
13. Østerild,ALT,10,0.6
13. Østerild,DD,398,25.5
13. Østerild,EL,22,1.4
14. 3. Øst,UP,30,0.1
14. 3. Øst,S,2818,14.0
14. 3. Øst,R,1632,8.1
14. 3. Øst,K,1468,7.3
14. 3. Øst,NB,252,1.3
14. 3. Øst,SF,1832,9.1
14. 3. Øst,LA,2824,14.1
14. 3. Øst,M,2510,12.5
14. 3. Øst,DF,180,0.9
14. 3. Øst,FG,98,0.5
14. 3. Øst,V,2298,11.4
14. 3. Øst,ALT,1808,9.0
14. 3. Øst,DD,194,1.0
14. 3. Øst,EL,2090,10.4
14. Askø,UP,0,0.0
14. Askø,S,20,27.8
14. Askø,R,0,0.0
14. Askø,K,0,0.0
14. Askø,NB,2,2.8
14. Askø,SF,0,0.0
14. Askø,LA,0,0.0
14. Askø,M,12,16.7
14. Askø,DF,6,8.3
14. Askø,FG,2,2.8
14. Askø,V,10,13.9
14. Askø,ALT,0,0.0
14. Askø,DD,14,19.4
14. Askø,EL,6,8.3
14. Blicherskolen,UP,2,0.1
14. Blicherskolen,S,1296,39.1
14. Blicherskolen,R,32,1.0
14. Blicherskolen,K,88,2.7
14. Blicherskolen,NB,210,6.3
14. Blicherskolen,SF,156,4.7
14. Blicherskolen,LA,200,6.0
14. Blicherskolen,M,210,6.3
14. Blicherskolen,DF,132,4.0
14. Blicherskolen,FG,6,0.2
14. Blicherskolen,V,476,14.3
14. Blicherskolen,ALT,26,0.8
14. Blicherskolen,DD,432,13.0
14. Blicherskolen,EL,42,1.3
14. CSV - Vejle Syd,UP,8,0.2
14. CSV - Vejle Syd,S,1214,35.4
14. CSV - Vejle Syd,R,106,3.1
14. CSV - Vejle Syd,K,114,3.3
14. CSV - Vejle Syd,NB,122,3.6
14. CSV - Vejle Syd,SF,286,8.3
14. CSV - Vejle Syd,LA,230,6.7
14. CSV - Vejle Syd,M,360,10.5
14. CSV - Vejle Syd,DF,74,2.2
14. CSV - Vejle Syd,FG,26,0.8
14. CSV - Vejle Syd,V,396,11.5
14. CSV - Vejle Syd,ALT,76,2.2
14. CSV - Vejle Syd,DD,276,8.0
14. CSV - Vejle Syd,EL,128,3.7
14. Feldborg,UP,0,0.0
14. Feldborg,S,196,20.6
14. Feldborg,R,6,0.6
14. Feldborg,K,52,5.5
14. Feldborg,NB,48,5.0
14. Feldborg,SF,34,3.6
14. Feldborg,LA,84,8.8
14. Feldborg,M,44,4.6
14. Feldborg,DF,26,2.7
14. Feldborg,FG,2,0.2
14. Feldborg,V,150,15.8
14. Feldborg,ALT,4,0.4
14. Feldborg,DD,282,29.6
14. Feldborg,EL,14,1.5
"14. Generationernes Hus, Aarhus Ø",UP,4,0.1
"14. Generationernes Hus, Aarhus Ø",S,992,13.3
"14. Generationernes Hus, Aarhus Ø",R,582,7.8
