Afstemningsområde,Partibogstav,Stemmetal,procent_22
1. Arenaskolen,EL,222,3.0
1. Asminderød,UP,12,0.1
1. Asminderød,S,1996,23.5
1. Asminderød,R,352,4.1
1. Asminderød,K,672,7.9
1. Asminderød,NB,364,4.3
1. Asminderød,SF,558,6.6
1. Asminderød,LA,1012,11.9
1. Asminderød,M,1020,12.0
1. Asminderød,DF,246,2.9
1. Asminderød,FG,20,0.2
1. Asminderød,V,1326,15.6
1. Asminderød,ALT,200,2.4
1. Asminderød,DD,464,5.5
1. Asminderød,EL,224,2.6
1. Asnæs,UP,6,0.1
1. Asnæs,S,1780,32.7
1. Asnæs,R,72,1.3
1. Asnæs,K,214,3.9
1. Asnæs,NB,274,5.0
1. Asnæs,SF,538,9.9
1. Asnæs,LA,220,4.0
1. Asnæs,M,624,11.5
1. Asnæs,DF,274,5.0
1. Asnæs,FG,8,0.1
1. Asnæs,V,776,14.2
1. Asnæs,ALT,76,1.4
1. Asnæs,DD,438,8.0
1. Asnæs,EL,142,2.6
1. Assens,UP,22,0.3
1. Assens,S,3286,39.0
1. Assens,R,112,1.3
1. Assens,K,382,4.5
1. Assens,NB,328,3.9
1. Assens,SF,498,5.9
1. Assens,LA,390,4.6
1. Assens,M,638,7.6
1. Assens,DF,264,3.1
1. Assens,FG,20,0.2
1. Assens,V,1224,14.5
1. Assens,ALT,162,1.9
1. Assens,DD,798,9.5
1. Assens,EL,262,3.1
1. Aunslevhallen,UP,6,0.3
1. Aunslevhallen,S,630,28.6
1. Aunslevhallen,R,36,1.6
1. Aunslevhallen,K,62,2.8
1. Aunslevhallen,NB,110,5.0
1. Aunslevhallen,SF,168,7.6
1. Aunslevhallen,LA,142,6.5
1. Aunslevhallen,M,188,8.5
1. Aunslevhallen,DF,102,4.6
1. Aunslevhallen,FG,6,0.3
1. Aunslevhallen,V,324,14.7
1. Aunslevhallen,ALT,42,1.9
1. Aunslevhallen,DD,306,13.9
1. Aunslevhallen,EL,70,3.2
1. Bagenkop,UP,0,0.0
1. Bagenkop,S,350,28.4
1. Bagenkop,R,8,0.6
1. Bagenkop,K,50,4.1
1. Bagenkop,NB,46,3.7
1. Bagenkop,SF,82,6.6
1. Bagenkop,LA,30,2.4
1. Bagenkop,M,106,8.6
1. Bagenkop,DF,52,4.2
1. Bagenkop,FG,2,0.2
1. Bagenkop,V,226,18.3
1. Bagenkop,ALT,20,1.6
1. Bagenkop,DD,234,19.0
1. Bagenkop,EL,28,2.3
1. Bagsværd,UP,4,0.1
1. Bagsværd,S,1906,24.0
1. Bagsværd,R,608,7.7
1. Bagsværd,K,584,7.4
1. Bagsværd,NB,168,2.1
1. Bagsværd,SF,836,10.5
1. Bagsværd,LA,720,9.1
1. Bagsværd,M,978,12.3
1. Bagsværd,DF,250,3.1
1. Bagsværd,FG,42,0.5
1. Bagsværd,V,926,11.7
1. Bagsværd,ALT,282,3.5
1. Bagsværd,DD,202,2.5
1. Bagsværd,EL,420,5.3
1. Billund,UP,6,0.1
1. Billund,S,1954,24.3
1. Billund,R,200,2.5
1. Billund,K,454,5.6
1. Billund,NB,362,4.5
1. Billund,SF,356,4.4
1. Billund,LA,648,8.0
1. Billund,M,974,12.1
1. Billund,DF,212,2.6
1. Billund,FG,12,0.1
1. Billund,V,1634,20.3
1. Billund,ALT,88,1.1
1. Billund,DD,960,11.9
1. Billund,EL,142,1.8
1. Birkerød,UP,4,0.0
1. Birkerød,S,1754,20.0
1. Birkerød,R,832,9.5
1. Birkerød,K,818,9.3
1. Birkerød,NB,194,2.2
1. Birkerød,SF,792,9.0
1. Birkerød,LA,832,9.5
1. Birkerød,M,1002,11.4
1. Birkerød,DF,138,1.6
1. Birkerød,FG,50,0.6
1. Birkerød,V,1372,15.7
1. Birkerød,ALT,310,3.5
1. Birkerød,DD,218,2.5
1. Birkerød,EL,430,4.9
1. Blistrup,UP,18,0.3
1. Blistrup,S,1474,25.5
1. Blistrup,R,88,1.5
1. Blistrup,K,290,5.0
1. Blistrup,NB,456,7.9
1. Blistrup,SF,350,6.0
1. Blistrup,LA,404,7.0
1. Blistrup,M,794,13.7
1. Blistrup,DF,266,4.6
1. Blistrup,FG,10,0.2
1. Blistrup,V,660,11.4
1. Blistrup,ALT,144,2.5
1. Blistrup,DD,564,9.7
1. Blistrup,EL,232,4.0
1. Blovstrød,UP,6,0.1
1. Blovstrød,S,708,15.9
1. Blovstrød,R,392,8.8
1. Blovstrød,K,394,8.9
1. Blovstrød,NB,150,3.4
1. Blovstrød,SF,432,9.7
1. Blovstrød,LA,450,10.1
1. Blovstrød,M,568,12.8
1. Blovstrød,DF,56,1.3
1. Blovstrød,FG,14,0.3
1. Blovstrød,V,830,18.7
1. Blovstrød,ALT,166,3.7
1. Blovstrød,DD,100,2.2
1. Blovstrød,EL,174,3.9
1. Bogense,UP,0,0.0
1. Bogense,S,2200,39.9
1. Bogense,R,66,1.2
1. Bogense,K,258,4.7
1. Bogense,NB,204,3.7
1. Bogense,SF,290,5.3
1. Bogense,LA,236,4.3
1. Bogense,M,558,10.1
1. Bogense,DF,168,3.0
1. Bogense,FG,4,0.1
1. Bogense,V,726,13.2
1. Bogense,ALT,44,0.8
1. Bogense,DD,646,11.7
1. Bogense,EL,100,1.8
1. Bredebro,UP,0,0.0
1. Bredebro,S,546,25.6
1. Bredebro,R,20,0.9
1. Bredebro,K,120,5.6
1. Bredebro,NB,186,8.7
1. Bredebro,SF,78,3.7
1. Bredebro,LA,126,5.9
1. Bredebro,M,280,13.1
1. Bredebro,DF,72,3.4
1. Bredebro,FG,2,0.1
1. Bredebro,V,314,14.7
1. Bredebro,ALT,4,0.2
1. Bredebro,DD,368,17.2
1. Bredebro,EL,16,0.7
1. Brejning Syd,UP,6,0.2
1. Brejning Syd,S,1160,29.4
1. Brejning Syd,R,142,3.6
1. Brejning Syd,K,198,5.0
1. Brejning Syd,NB,130,3.3
1. Brejning Syd,SF,396,10.0
1. Brejning Syd,LA,292,7.4
1. Brejning Syd,M,436,11.0
1. Brejning Syd,DF,108,2.7
1. Brejning Syd,FG,2,0.1
1. Brejning Syd,V,552,14.0
1. Brejning Syd,ALT,92,2.3
1. Brejning Syd,DD,314,7.9
1. Brejning Syd,EL,84,2.1
1. Brøndbyvester Skole,UP,6,0.1
1. Brøndbyvester Skole,S,2106,33.3
1. Brøndbyvester Skole,R,212,3.4
1. Brøndbyvester Skole,K,268,4.2
1. Brøndbyvester Skole,NB,266,4.2
1. Brøndbyvester Skole,SF,524,8.3
1. Brøndbyvester Skole,LA,442,7.0
1. Brøndbyvester Skole,M,602,9.5
1. Brøndbyvester Skole,DF,304,4.8
1. Brøndbyvester Skole,FG,212,3.4
1. Brøndbyvester Skole,V,590,9.3
1. Brøndbyvester Skole,ALT,92,1.5
1. Brøndbyvester Skole,DD,384,6.1
1. Brøndbyvester Skole,EL,296,4.7
1. Brørup,UP,8,0.1
1. Brørup,S,1808,27.8
1. Brørup,R,94,1.4
1. Brørup,K,294,4.5
1. Brørup,NB,500,7.7
1. Brørup,SF,314,4.8
1. Brørup,LA,450,6.9
1. Brørup,M,550,8.4
1. Brørup,DF,206,3.2
1. Brørup,FG,6,0.1
1. Brørup,V,1294,19.9
1. Brørup,ALT,40,0.6
1. Brørup,DD,842,12.9
1. Brørup,EL,86,1.3
1. Byen,UP,38,0.2
1. Byen,S,8554,35.0
1. Byen,R,740,3.0
1. Byen,K,1130,4.6
1. Byen,NB,686,2.8
1. Byen,SF,2270,9.3
1. Byen,LA,1618,6.6
1. Byen,M,2320,9.5
1. Byen,DF,792,3.2
1. Byen,FG,82,0.3
1. Byen,V,2090,8.5
1. Byen,ALT,910,3.7
1. Byen,DD,1276,5.2
1. Byen,EL,1904,7.8
1. Centrum Nord,UP,6,0.1
1. Centrum Nord,S,1938,21.2
1. Centrum Nord,R,390,4.3
1. Centrum Nord,K,558,6.1
1. Centrum Nord,NB,454,5.0
1. Centrum Nord,SF,886,9.7
1. Centrum Nord,LA,1104,12.1
1. Centrum Nord,M,936,10.2
1. Centrum Nord,DF,224,2.5
1. Centrum Nord,FG,46,0.5
1. Centrum Nord,V,1250,13.7
1. Centrum Nord,ALT,348,3.8
1. Centrum Nord,DD,492,5.4
1. Centrum Nord,EL,466,5.1
1. Dalmose,UP,12,0.3
1. Dalmose,S,1184,30.3
1. Dalmose,R,68,1.7
1. Dalmose,K,114,2.9
1. Dalmose,NB,298,7.6
1. Dalmose,SF,260,6.7
1. Dalmose,LA,202,5.2
1. Dalmose,M,342,8.8
1. Dalmose,DF,220,5.6
1. Dalmose,FG,6,0.2
1. Dalmose,V,570,14.6
1. Dalmose,ALT,30,0.8
1. Dalmose,DD,474,12.1
1. Dalmose,EL,118,3.0
1. Dianalund,UP,16,0.2
1. Dianalund,S,2170,30.7
1. Dianalund,R,114,1.6
1. Dianalund,K,352,5.0
1. Dianalund,NB,490,6.9
1. Dianalund,SF,612,8.7
1. Dianalund,LA,358,5.1
