opstillingskreds_dagi,Opstillingskreds,Partibogstav,Stemmetal,procent_22
403560,Brøndby,NB,1324,3.7
403560,Brøndby,R,1258,3.5
403560,Brøndby,S,11908,33.3
403560,Brøndby,SF,2934,8.2
403560,Brøndby,UP,51,0.1
403560,Brøndby,V,2899,8.1
403561,Taastrup,ALT,936,2.3
403561,Taastrup,DD,2030,5.1
403561,Taastrup,DF,1704,4.3
403561,Taastrup,EL,2441,6.1
403561,Taastrup,FG,1580,4.0
403561,Taastrup,K,2784,7.0
403561,Taastrup,LA,2368,5.9
403561,Taastrup,M,3409,8.5
403561,Taastrup,NB,1426,3.6
403561,Taastrup,R,1648,4.1
403561,Taastrup,S,12372,31.0
403561,Taastrup,SF,4092,10.2
403561,Taastrup,UP,55,0.1
403561,Taastrup,V,3089,7.7
403562,Rødovre,ALT,1107,2.9
403562,Rødovre,DD,1624,4.2
403562,Rødovre,DF,1550,4.1
403562,Rødovre,EL,2423,6.3
403562,Rødovre,FG,854,2.2
403562,Rødovre,K,1945,5.1
403562,Rødovre,LA,2431,6.4
403562,Rødovre,M,3742,9.8
403562,Rødovre,NB,1212,3.2
403562,Rødovre,R,1546,4.0
403562,Rødovre,S,12830,33.5
403562,Rødovre,SF,3851,10.1
403562,Rødovre,UP,48,0.1
403562,Rødovre,V,3102,8.1
403563,Tårnby,ALT,926,2.7
403563,Tårnby,DD,1824,5.4
403563,Tårnby,DF,1349,4.0
403563,Tårnby,EL,1482,4.4
403563,Tårnby,FG,349,1.0
403563,Tårnby,K,2120,6.3
403563,Tårnby,LA,2558,7.6
403563,Tårnby,M,3404,10.1
403563,Tårnby,NB,1244,3.7
403563,Tårnby,R,966,2.9
403563,Tårnby,S,11137,33.1
403563,Tårnby,SF,2670,7.9
403563,Tårnby,UP,44,0.1
403563,Tårnby,V,3611,10.7
403564,Østerbro,ALT,4378,9.0
403564,Østerbro,DD,558,1.2
403564,Østerbro,DF,585,1.2
403564,Østerbro,EL,5595,11.6
403564,Østerbro,FG,529,1.1
403564,Østerbro,K,2749,5.7
403564,Østerbro,LA,5002,10.3
403564,Østerbro,M,5397,11.2
403564,Østerbro,NB,682,1.4
403564,Østerbro,R,4187,8.7
403564,Østerbro,S,8414,17.4
403564,Østerbro,SF,5485,11.3
403564,Østerbro,UP,71,0.1
403564,Østerbro,V,4751,9.8
403565,Sundbyvester,ALT,3771,8.8
403565,Sundbyvester,DD,812,1.9
403565,Sundbyvester,DF,641,1.5
403565,Sundbyvester,EL,5532,12.9
403565,Sundbyvester,FG,1129,2.6
403565,Sundbyvester,K,1893,4.4
403565,Sundbyvester,LA,3944,9.2
403565,Sundbyvester,M,4171,9.7
403565,Sundbyvester,NB,773,1.8
403565,Sundbyvester,R,3263,7.6
403565,Sundbyvester,S,8212,19.1
403565,Sundbyvester,SF,5067,11.8
403565,Sundbyvester,UP,84,0.2
