kandidat,parti,valgt,stemmer
Tilde Holch Duedahl,"Venstre, Danmarks Liberale Parti",,0
Ulrik Knudsen,Danmarksdemokraterne - Inger Støjberg,,0
Benny Dall,Enhedslisten - De Rød-Grønne,,0
Holly Marie Turner,Enhedslisten - De Rød-Grønne,,0
Barbara Krarup Hansen,Radikale Venstre,,0
Mads-Magnus Damm,Dansk Folkeparti,,0
Bo Nielsen,Alternativet,,0
Frederik Bloch Münster,Det Konservative Folkeparti,,0
Maria Radoor,Socialdemokratiet,,0
Jens Langer Schou,Det Konservative Folkeparti,,0
Sofus Teislev,SF - Socialistisk Folkeparti,,0
Rasmus Elkjær Larsen,Det Konservative Folkeparti,,0
Christian Rabjerg Madsen,Socialdemokratiet,,0
Lone Hansen,Moderaterne,,0
